service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,service_name,case_record_type,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description,iamfloc,floc
2837767,,,2020-01-01T00:00:00,1,Parking Zone Violation,Parking,2020-01-01T00:00:00,Closed,32.75025,-117.24394,"4843 Voltaire St, San Diego, CA 92107, USA",92107,2,23,Ocean Beach,,Web,,Large white converted schools bus. People living ...habitating in the bus next to my property we have reported this Bus many times.,SS-028127,SS-028127
2837768,,,2020-01-01T00:04:00,1,Parking Zone Violation,Parking,2020-01-01T00:00:00,Closed,32.75358,-117.24996,"5180 W Point Loma Blvd, San Diego, CA 92107, USA",92107,2,23,Ocean Beach,,Web,,"Tan Chevy RV, parked in dog beach parking lot daily. Two people and. Dog living in the RV in violation of the vehicle habitation ordianance less than 150 feet from our building . We have nothing reported this vehicle here on the app and also by ohine several times but nothing has been done.",SS-028516,SS-028516
2837769,,,2020-01-01T00:06:00,1,Citizen Contact,Parking,2020-01-02T00:00:00,Closed,32.97303,-117.08151,"11605 Windcrest Ln, San Diego, Ca 92128, Usa",92128,5,3,Carmel Mountain Ranch,,Mobile,,Fireworks being set off next to dried out golf course,SS-028900,SS-028900
2837770,,40300225172,2020-01-01T00:12:00,16,Traffic Signal Light Out,TSW,2020-01-16T00:00:00,Closed,32.92025323,-117.1700493,,,6,15,Mira Mesa,,Mobile,,Yellow light out on traffic light facing west on Calle Cristobal,SG-200735,SX-002477-008
2837771,2837769,,2020-01-01T00:14:00,1,Citizen Contact,Parking,2020-01-02T00:00:00,Closed,32.97547,-117.08186,"11594 Windcrest Ln, San Diego, Ca 92128, Usa",92128,5,3,Carmel Mountain Ranch,,Mobile,,Fireworks set off land left at int. Windcrest/Seabridge. Near dry brush golf course,SS-028900,SS-028900
2837772,,,2020-01-01T00:18:00,1,Parking Zone Violation,Parking,2020-01-01T00:00:00,Closed,32.69874,-117.07879,"5445 Olvera Ave, San Diego, CA 92114, USA",92114,4,11,Encanto Neighborhoods,,Web,,SHOTS AND FIREWORKS IN BACK OF MY HOUSE AND ITS DANGEROUS,SS-020534,SS-020534
2837773,,,2020-01-01T00:30:00,3,Illegal Dumping,ESD Complaint/Report,2020-01-03T00:00:00,Closed,32.75125504,-117.0949478,"4629 Polk Ave, San Diego, CA 92105",92105,9,56,Mid-City:City Heights,,Mobile,,Illegal dumping of mattress and box spring in alley.,,
2837774,,40300225107,2020-01-01T00:36:00,340,Street Light Knock Over/Damage,TSW,,In Process,32.71728427,-117.1405518,,,3,8,Greater Golden Hill,,Mobile,,Street light globe is loose. Looks like it could fall off and hit someone.,PL-305321,SS-000519-005
2837775,,,2020-01-01T01:19:00,1,Graffiti Removal - Code Enforcement,TSW,2020-01-02T00:00:00,Referred,32.67968762,-117.0660048,,,4,44,Skyline-Paradise Hills,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,PH gang graffiti on utility box in front of paradise hills elementary school,SS-002150,SS-002150
2837776,,,2020-01-01T01:23:00,6,Graffiti Removal,TSW,2020-01-07T00:00:00,Closed,32.68430745,-117.0508867,,,4,44,Skyline-Paradise Hills,,Mobile,,PH gang graffiti on street sign,SS-002235,SS-002235
2837777,,,2020-01-01T01:25:00,1,Graffiti Removal - Code Enforcement,TSW,2020-01-02T00:00:00,Referred,32.68312112,-117.0493576,,,4,44,Skyline-Paradise Hills,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,PH gang graffiti on utility box,SS-002239,SS-002239
2837778,,,2020-01-01T01:27:00,6,Graffiti Removal,TSW,2020-01-07T00:00:00,Closed,32.68156229,-117.0471665,,,4,44,Skyline-Paradise Hills,,Mobile,,PH gang graffiti to back of stop sign,SS-002240,SS-002240
2837779,,,2020-01-01T01:33:00,1,Graffiti Removal - Code Enforcement,TSW,2020-01-02T00:00:00,Referred,32.68375881,-117.0383954,,,4,44,Skyline-Paradise Hills,,Mobile,This report has been referred to Graffiti ? SDGE Poles and Boxes at aesgraffitihotline4sdge@yahoo.com,PH gang graffiti on utility box on the Corner of Alsacia and Barney street,SS-002223,SS-002223
2837780,,40300225144,2020-01-01T02:12:00,9,Traffic Sign - Maintain,TSW,2020-01-10T00:00:00,Closed,32.73872186,-117.1603649,,,3,42,Uptown,,Phone,,"SPRUCE ST & 5TH AVEPER PD STOP SIGN KO?D , LAYING ON SIDEWALK",SS-000158,SS-000158
